Geo Point;Geo Shape;dep;adresse;nomcom;insee;nom_carto;typo_niv3;objectid
49.043219764, 1.57634669815;"{""coordinates"": [1.576346698151841, 49.043219763973276, 0.0], ""type"": ""Point""}";78;FACE 65 RUE EMILE ZOLA;BENNECOURT;78057;Port Saint-Nicolas;Haltes, escales ou ports fluviaux de plaisance;511
48.8658271201, 2.33359061115;"{""coordinates"": [2.333590611146253, 48.8658271201059, -100000.0], ""type"": ""Point""}";75;25 RUE DES PYRAMIDES;Paris 10EME ARRONDISSEMENT;75101;;Offices du tourisme et syndicats d'initiative;541
48.4028483116, 2.6950686995;"{""coordinates"": [2.69506869949597, 48.402848311643275, -100000.0], ""type"": ""Point""}";77;4 RUE ROYALE;FONTAINEBLEAU;77186;;Offices du tourisme et syndicats d'initiative;549
48.1860446995, 2.73209715764;"{""coordinates"": [2.732097157643558, 48.18604469952679, -100000.0], ""type"": ""Point""}";77;67 AVENUE DU MARECHAL LECLERC;SOUPPES SUR LOING;77458;;Offices du tourisme et syndicats d'initiative;563
48.4032406585, 2.46975391004;"{""coordinates"": [2.469753910040292, 48.40324065845812, -100000.0], ""type"": ""Point""}";91;47 RUE LANGLOIS;MILLY LA FORET;91405;;Offices du tourisme et syndicats d'initiative;589
48.6391108704, 2.27341413113;"{""coordinates"": [2.273414131133124, 48.63911087035634, 90.30000000000291], ""type"": ""Point""}";91;PLACE DE L HOTEL DE VILLE BP 70204 (CEDEX);MONTLHERY;91425;;Offices du tourisme et syndicats d'initiative;591
48.6791661364, 2.34562068562;"{""coordinates"": [2.345620685615215, 48.679166136376715, -100000.0], ""type"": ""Point""}";91;48 AVENUE CHARLES DE GAULLE;SAVIGNY SUR ORGE;91589;;Offices du tourisme et syndicats d'initiative;593
48.8683643408, 2.22295236625;"{""coordinates"": [2.222952366249725, 48.86836434079085, -100000.0], ""type"": ""Point""}";92;50 BOULEVARD HENRI SELLIER;SURESNES;92073;;Offices du tourisme et syndicats d'initiative;607
48.9053582758, 2.4393288221;"{""coordinates"": [2.439328822096146, 48.90535827578258, -100000.0], ""type"": ""Point""}";93;125 BIS, RUE JEAN JAURES;BOBIGNY;93008;;Offices du tourisme et syndicats d'initiative;608
49.1130620225, 2.21584372476;"{""coordinates"": [2.215843724758559, 49.11306202250533, -100000.0], ""type"": ""Point""}";95;RUE DES ECURIES DU ROI BP 3;L ISLE ADAM;95313;;Offices du tourisme et syndicats d'initiative;626
48.8794724211, 2.7647848861;"{""coordinates"": [2.764784886104502, 48.879472421127076, 0.0], ""type"": ""Point""}";77;PLACE FRANÇOIS TRUFFAUT;CHESSY;77111;;Offices du tourisme et syndicats d'initiative;636
48.7280806673, 2.35942634037;"{""coordinates"": [2.359426340371336, 48.728080667287884, 0.0], ""type"": ""Point""}";91;AEROPORT ORLY-OUEST;PARAY-VIEILLE-POSTE;91479;;Offices du tourisme et syndicats d'initiative;639
49.0052960615, 2.57691294185;"{""coordinates"": [2.576912941854933, 49.00529606151326, 0.0], ""type"": ""Point""}";77;AEROPORT CDG - TERMINAL 2F;LE MESNIL-AMELOT;77291;;Offices du tourisme et syndicats d'initiative;644
48.8146483174, 2.25146801506;"{""coordinates"": [2.251468015059413, 48.814648317444444, 0.0], ""type"": ""Point""}";92;19 avenue Auguste Rodin;MEUDON;92048;Musée Rodin - villa des brillants;Musée et écomusée;647
48.5452270951, 2.65185704346;"{""coordinates"": [2.651857043455422, 48.54522709510426, -100000.0], ""type"": ""Point""}";77;Avenue du General Patton;MELUN;77288;Nolimit aventure melun;Espace de loisirs, espace récréatif;653
48.8830272726, 2.30771884099;"{""coordinates"": [2.307718840994677, 48.88302727259807, 0.0], ""type"": ""Point""}";75;43 AVENUE DE VILLIERS;PARIS;75117;Musée national Jean-Jacques Henner;Musée et écomusée;670
48.8303654428, 2.28919116841;"{""coordinates"": [2.289191168412085, 48.83036544278021, 0.0], ""type"": ""Point""}";75;1, PLACE DE LA PORTE DE VERSAILLES, 75738 PARIS;PARIS;75115;Paris Expo Porte de Versailles;Centre de congrès et parc d'exposition;15
48.8927352831, 2.2367030523;"{""coordinates"": [2.236703052295084, 48.8927352830714, 0.0], ""type"": ""Point""}";92;PARVIS DE LA DÉFENSE;PARIS LA DÉFENSE;92160;ESPACE GRANDE ARCHE;Centre de congrès et parc d'exposition;17
48.7918503182, 2.39646798248;"{""coordinates"": [2.396467982483772, 48.79185031820397, -100000.0], ""type"": ""Point""}";94;59 AVENUE GUY-MOQUET;VITRY-SUR-SEINE;94081;Galerie municipale Jean-Collet;Diffusion de l'art (autre que musée);24
